"dat_vero_low","dat_vero_fit","dat_vero_high","coverage","gene"
0,0,0,"0","S2"
-0.000996551702273275,9.5565847020888e-05,0.00118768339631505,"0.1","S2"
-0.00197690609813446,0.000197849802553095,0.00237260570324065,"0.2","S2"
-0.00294114286335873,0.000306813487642385,0.0035547698386435,"0.3","S2"
-0.00388934170708868,0.000422418523334524,0.00473417875375773,"0.4","S2"
-0.00482158237211428,0.000544626530675276,0.00591083543346483,"0.5","S2"
-0.00573794463515384,0.000673399130710411,0.00708474289657466,"0.6","S2"
-0.00663850830713584,0.000808697944485685,0.00825590419610721,"0.7","S2"
-0.00752335323348146,0.000950484593046875,0.00942432241957521,"0.8","S2"
-0.00839255929438798,0.00109872069743974,0.0105900006892675,"0.9","S2"
-0.00924620640511281,0.00125336787871004,0.0117529421625329,"1","S2"
-0.0100843745162581,0.00141438775790356,0.0129131500320652,"1.1","S2"
-0.010907143614056,0.00158174195606603,0.014070627526188,"1.2","S2"
-0.0117145937206544,0.00175539209424325,0.0152253779091409,"1.3","S2"
-0.0125068048944029,0.00193529979348095,0.0163774044813648,"1.4","S2"
-0.0132838572301395,0.00212142667482494,0.0175267105797894,"1.5","S2"
-0.0140458308594772,0.00231373435932095,0.0186732995781191,"1.6","S2"
-0.014792805951091,0.00251218446801478,0.0198171748871205,"1.7","S2"
-0.0155248627110049,0.00271673862195214,0.0209583399549092,"1.8","S2"
-0.016242081382879,0.00292735844217884,0.0220967982672367,"1.9","S2"
-0.0169445422482966,0.00314400554974062,0.0232325533477778,"2","S2"
-0.0176323256270507,0.00336664156568328,0.0243656087584172,"2.1","S2"
-0.018305511877431,0.00359522811105257,0.0254959680995361,"2.2","S2"
-0.0189641813965101,0.00382972680689421,0.0266236350102985,"2.3","S2"
-0.0196084146204291,0.00407009927425403,0.0277486131689371,"2.4","S2"
-0.0202382920246827,0.00431630713417777,0.0288709062930382,"2.5","S2"
-0.0208538941244043,0.00456831200771119,0.0299905181398267,"2.6","S2"
-0.0214553014746493,0.00482607551590005,0.0311074525064494,"2.7","S2"
-0.022042594670678,0.00508955927979011,0.0322217132302582,"2.8","S2"
-0.0226158543482378,0.00535872492042718,0.0333333041890922,"2.9","S2"
-0.0231751611838435,0.00563353405885699,0.0344422293015575,"3","S2"
-0.0237205958950569,0.00591394831612528,0.0355484925273074,"3.1","S2"
-0.0242522392407647,0.00619992931327789,0.0366520978673205,"3.2","S2"
-0.0247701720214552,0.00649143867136052,0.0377530493641762,"3.3","S2"
-0.0252744750794926,0.00678843801141897,0.0388513511023306,"3.4","S2"
-0.0257652292993905,0.00709088895449895,0.0399470072083884,"3.5","S2"
-0.026242515608082,0.00739875312164631,0.0410400218513746,"3.6","S2"
-0.0267064149751889,0.00771199213390675,0.0421303992430024,"3.7","S2"
-0.0271570084132884,0.00803056761232604,0.0432181436379404,"3.8","S2"
-0.027594376978176,0.00835444117794998,0.044303259334076,"3.9","S2"
-0.0280186017691279,0.00868357445182431,0.0453857506727765,"4","S2"
-0.0284297639291584,0.00901792905499483,0.046465622039148,"4.1","S2"
-0.0288279446452758,0.00935746660850725,0.0475428778622903,"4.2","S2"
-0.0292132251487342,0.0097021487334074,0.048617522615549,"4.3","S2"
-0.0295856867152825,0.010051937050741,0.0496895608167645,"4.4","S2"
-0.0299454106654089,0.0104067931815538,0.0507589970285164,"4.5","S2"
-0.0302924783645826,0.0107666787468915,0.0518258358583657,"4.6","S2"
-0.0306269712234906,0.0111315553678001,0.0528900819590907,"4.7","S2"
-0.0309489706982707,0.0115013846653251,0.053951740028921,"4.8","S2"
-0.0312585582907399,0.0118761282605125,0.0550108148117649,"4.9","S2"
-0.0315558155486179,0.0122557477744079,0.0560673110974336,"5","S2"
-0.0318408240657454,0.0126402048280571,0.0571212337218596,"5.1","S2"
-0.032113665482298,0.0130294610425059,0.0581725875673098,"5.2","S2"
-0.0323744214849939,0.0134234780388,0.0592213775625939,"5.3","S2"
-0.0326231738072956,0.0138222174379852,0.060267608683266,"5.4","S2"
-0.0328600042296064,0.0142256408611073,0.0613112859518211,"5.5","S2"
-0.03308499457946,0.0146337099292121,0.0623524144378841,"5.6","S2"
-0.0332982267317035,0.0150463862633453,0.0633909992583941,"5.7","S2"
-0.0334997826086741,0.0154636314845526,0.0644270455777793,"5.8","S2"
-0.0336897441803675,0.0158854072138799,0.0654605586081273,"5.9","S2"
-0.0338681934646,0.0163116750723728,0.0664915436093457,"6","S2"
-0.0340352125271616,0.0167423966810773,0.0675200058893162,"6.1","S2"
-0.0341908834819624,0.0171775336610389,0.0685459508040402,"6.2","S2"
-0.0343352884911686,0.0176170476333036,0.0695693837577757,"6.3","S2"
-0.0344685097653315,0.018060900218917,0.0705903102031656,"6.4","S2"
-0.0345906295635063,0.018509053038925,0.0716087356413562,"6.5","S2"
-0.0347017301933612,0.0189614677143732,0.0726246656221076,"6.6","S2"
-0.0348018940112773,0.0194181058663075,0.0736381057438923,"6.7","S2"
-0.0348912034224374,0.0198789291157737,0.0746490616539848,"6.8","S2"
-0.034969740880905,0.0203438990838174,0.0756575390485397,"6.9","S2"
-0.0350375888896909,0.0208129773914844,0.0766635436726597,"7","S2"
-0.0350948300008095,0.0212861256598206,0.0776670813204507,"7.1","S2"
-0.0351415468153228,0.0217633055098717,0.0786681578350662,"7.2","S2"
-0.0351778219833714,0.0222444785626834,0.0796667791087383,"7.3","S2"
-0.0352037382041936,0.0227296064393016,0.0806629510827967,"7.4","S2"
-0.0352193782261302,0.0232186507607719,0.081656679747674,"7.5","S2"
-0.0352248248466169,0.0237115731481401,0.0826479711428971,"7.6","S2"
-0.035220160912161,0.0242083352224521,0.0836368313570652,"7.7","S2"
-0.0352054693183046,0.0247088986047535,0.0846232665278116,"7.8","S2"
-0.0351808330095719,0.0252132249160902,0.0856072828417523,"7.9","S2"
-0.0351463349794011,0.0257212757775078,0.0865888865344168,"8","S2"
-0.0351020582700595,0.0262330128100523,0.0875680838901642,"8.1","S2"
-0.0350480859725435,0.0267483976347693,0.0885448812420821,"8.2","S2"
-0.0349845012264586,0.0272673918727046,0.0895192849718679,"8.3","S2"
-0.0349113872198845,0.027789957144904,0.0904913015096924,"8.4","S2"
-0.0348288271892192,0.0283160550724132,0.0914609373340456,"8.5","S2"
-0.0347369044190061,0.028845647276278,0.0924281989715621,"8.6","S2"
-0.0346357022417405,0.0293786953775441,0.0933930929968287,"8.7","S2"
-0.0345253040376556,0.0299151609972575,0.0943556260321705,"8.8","S2"
-0.0344057932344893,0.0304550057564636,0.0953158047474165,"8.9","S2"
-0.0342772533072274,0.0309981912762084,0.0962736358596442,"9","S2"
-0.0341397677778265,0.0315446791775376,0.0972291261329018,"9.1","S2"
-0.0339934202149137,0.0320944310814971,0.0981822823779078,"9.2","S2"
-0.0338382942334623,0.0326474086091325,0.0991331114517273,"9.3","S2"
-0.0336744734944446,0.0332035733814896,0.100081620257424,"9.4","S2"
-0.033502041704459,0.0337628870196142,0.101027815743687,"9.5","S2"
-0.0333210826153323,0.034325311144552,0.101971704904436,"9.6","S2"
-0.0331316800236955,0.0348908073773489,0.102913294778393,"9.7","S2"
-0.0329339177705331,0.0354593373390506,0.103852592448634,"9.8","S2"
-0.0327278797407048,0.0360308626507027,0.10478960504211,"9.9","S2"
-0.0325136498624387,0.0366053449333512,0.105724339729141,"10","S2"
-0.0322913121067953,0.0371827458080418,0.106656803722879,"10.1","S2"
-0.0320609504871023,0.0377630268958202,0.107587004278743,"10.2","S2"
-0.0318226490583583,0.0383461498177323,0.108514948693823,"10.3","S2"
-0.0315764919166049,0.0389320761948236,0.109440644306252,"10.4","S2"
-0.0313225631982674,0.0395207676481401,0.110364098494548,"10.5","S2"
-0.0310609470794617,0.0401121857987275,0.111285318676917,"10.6","S2"
-0.0307917277752678,0.0407062922676316,0.112204312310531,"10.7","S2"
-0.0305149895389687,0.0413030486758982,0.113121086890765,"10.8","S2"
-0.0302308166612534,0.0419024166445729,0.114035649950399,"10.9","S2"
-0.0299392934693838,0.0425043577947015,0.114948009058787,"11","S2"
-0.0296405043263244,0.04310883374733,0.115858171820984,"11.1","S2"
-0.0293345336298342,0.0437158061235038,0.116766145876842,"11.2","S2"
-0.0290214658115186,0.044325236544269,0.117671938900057,"11.3","S2"
-0.028701385335843,0.0449370866306712,0.118575558597185,"11.4","S2"
-0.0283743766991043,0.0455513180037561,0.119477012706617,"11.5","S2"
-0.0280405244283612,0.0461678922845696,0.120376308997501,"11.6","S2"
-0.0276999130803221,0.0467867710941575,0.121273455268637,"11.7","S2"
-0.0273526272401893,0.0474079160535655,0.12216845934732,"11.8","S2"
-0.0269987515204591,0.0480312887838391,0.123061329088137,"11.9","S2"
-0.0266383705596756,0.0486568509060246,0.123952072371725,"12","S2"
-0.0262715690211397,0.0492845640411673,0.124840697103474,"12.1","S2"
-0.0258984315915696,0.0499143898103133,0.125727211212196,"12.2","S2"
-0.0255190429797132,0.0505462898345081,0.126611622648729,"12.3","S2"
-0.0251334879149129,0.0511802257347975,0.127493939384508,"12.4","S2"
-0.0247418511456174,0.0518161591322275,0.128374169410072,"12.5","S2"
-0.0243442174378459,0.0524540516478436,0.129252320733533,"12.6","S2"
-0.0239406715735973,0.0530938649026918,0.130128401378981,"12.7","S2"
-0.0235312983492089,0.0537355605178176,0.131002419384844,"12.8","S2"
-0.0231161825736587,0.0543791001142669,0.131874382802192,"12.9","S2"
-0.0226954090668152,0.0550244453130855,0.132744299692986,"13","S2"
-0.0222690626576301,0.0556715577353192,0.133612178128269,"13.1","S2"
-0.0218372281822743,0.0563203990020136,0.134478026186302,"13.2","S2"
-0.0213999904822164,0.0569709307342146,0.135341851950646,"13.3","S2"
-0.0209574344022428,0.057623114552968,0.136203663508179,"13.4","S2"
-0.0205096447884179,0.0582769120793194,0.137063468947057,"13.5","S2"
-0.0200567064859836,0.0589322849343147,0.137921276354613,"13.6","S2"
-0.0195987043371985,0.0595891947389996,0.138777093815198,"13.7","S2"
-0.0191357231791127,0.0602476031144199,0.139630929407953,"13.8","S2"
-0.0186678478412821,0.0609074716816213,0.140482791204525,"13.9","S2"
