"dat_vero_low","dat_vero_fit","dat_vero_high","coverage","gene"
0,0,0,"0","RdRp"
-0.000118772047293901,0.000147779121576266,0.000414330290446434,"0.1","RdRp"
-0.000237455325538849,0.000293338433337971,0.00082413219221479,"0.2","RdRp"
-0.000356050205379132,0.000436687557076384,0.0012294253195319,"0.3","RdRp"
-0.000474557065457035,0.00057783611458278,0.00163022929462259,"0.4","RdRp"
-0.000592976292480863,0.000716793727648428,0.00202656374777772,"0.5","RdRp"
-0.000711308281293221,0.000853570018064602,0.00241844831742243,"0.6","RdRp"
-0.000829553434939534,0.000988174607622573,0.00280590265018468,"0.7","RdRp"
-0.000947712164736793,0.00112061711811361,0.00318894640096402,"0.8","RdRp"
-0.00106578489034252,0.00125090717132899,0.0035675992330005,"0.9","RdRp"
-0.00118377203982392,0.00137905438905999,0.00394188081794389,"1","RdRp"
-0.00130167404972727,0.00150506839309786,0.00431181083592299,"1.1","RdRp"
-0.00141949136514739,0.00162895880523389,0.00467740897561518,"1.2","RdRp"
-0.00153722443979737,0.00175073524725936,0.00503869493431608,"1.3","RdRp"
-0.00165487373607838,0.00187040734096552,0.00539568841800942,"1.4","RdRp"
-0.00177243972514963,0.00198798470814365,0.00574840914143694,"1.5","RdRp"
-0.00188992288699843,0.00210347697058503,0.00609687682816849,"1.6","RdRp"
-0.00200732371051034,0.00221689375008092,0.00644111121067217,"1.7","RdRp"
-0.00212464269353937,0.0023282446684226,0.00678113203038456,"1.8","RdRp"
-0.00224188034297831,0.00243753934740134,0.00711695903778099,"1.9","RdRp"
-0.00235903717482903,0.00254478740880841,0.00744861199244585,"2","RdRp"
-0.00247611371427276,0.00264999847443508,0.00777611066314291,"2.1","RdRp"
-0.00259311049574044,0.00275318216607263,0.00809947482788569,"2.2","RdRp"
-0.00271002806298303,0.00285434810551232,0.00841872427400767,"2.3","RdRp"
-0.00282686696914168,0.00295350591454543,0.00873387879823254,"2.4","RdRp"
-0.00294362777681792,0.00305066521496323,0.00904495820674439,"2.5","RdRp"
-0.00306031105814372,0.003145835628557,0.00935198231525772,"2.6","RdRp"
-0.00317691739485136,0.003239026777118,0.00965497094908736,"2.7","RdRp"
-0.00329344737834324,0.0033302482824375,0.00995394394321824,"2.8","RdRp"
-0.00340990160976143,0.00341950976630678,0.010248921142375,"2.9","RdRp"
-0.00352628070005704,0.00350682085051712,0.0105399224010913,"3","RdRp"
-0.00364258527005937,0.00359219115685977,0.0108269675837789,"3.1","RdRp"
-0.00375881595054471,0.00367563030712601,0.0111100765647967,"3.2","RdRp"
-0.00387497338230492,0.00375714792310712,0.0113892692285192,"3.3","RdRp"
-0.00399105821621563,0.00383675362659437,0.0116645654694044,"3.4","RdRp"
-0.00410707111330409,0.00391445703937903,0.0119359851920621,"3.5","RdRp"
-0.00422301274481655,0.00399026778325236,0.0122035483113213,"3.6","RdRp"
-0.00433888379228531,0.00406419548000565,0.0124672747522966,"3.7","RdRp"
-0.00445468494759516,0.00413624975143017,0.0127271844504555,"3.8","RdRp"
-0.00457041691304941,0.00420644021931718,0.0129832973516838,"3.9","RdRp"
-0.00468608040143531,0.00427477650545796,0.0132356334123512,"4","RdRp"
-0.00480167613608884,0.00434126823164377,0.0134842125993764,"4.1","RdRp"
-0.00491720485095893,0.0044059250196659,0.0137290548902907,"4.2","RdRp"
-0.00503266729067091,0.00446875649131561,0.0139701802733021,"4.3","RdRp"
-0.00514806421058932,0.00452977226838418,0.0142076087473577,"4.4","RdRp"
-0.00526339637687985,0.00458898197266287,0.0144413603222056,"4.5","RdRp"
-0.0053786645665705,0.00464639522594297,0.0146714550184564,"4.6","RdRp"
-0.00549386956761186,0.00470202165001573,0.0148979128676433,"4.7","RdRp"
-0.00560901217893648,0.00475587086667244,0.0151207539122814,"4.8","RdRp"
-0.00572409321051718,0.00480795249770436,0.0153399982059259,"4.9","RdRp"
-0.0058391134834244,0.00485827616490277,0.0155556658132299,"5","RdRp"
-0.00595407382988245,0.00490685149005893,0.0157677768100003,"5.1","RdRp"
-0.00606897509332462,0.00495368809496413,0.0159763512832529,"5.2","RdRp"
-0.00618381812844698,0.00499879560140963,0.0161814093312662,"5.3","RdRp"
-0.00629860380126107,0.0050421836311867,0.0163829710636345,"5.4","RdRp"
-0.00641333298914513,0.00508386180608662,0.0165810566013184,"5.5","RdRp"
-0.00652800658089399,0.00512383974790066,0.0167756860766953,"5.6","RdRp"
-0.00664262547676749,0.00516212707842008,0.0169668796336077,"5.7","RdRp"
-0.00675719058853736,0.00519873341943617,0.0171546574274097,"5.8","RdRp"
-0.00687170283953252,0.00523366839274019,0.0173390396250129,"5.9","RdRp"
-0.00698616316468265,0.00526694162012341,0.0175200464049295,"6","RdRp"
-0.00710057251056009,0.00529856272337711,0.0176976979573143,"6.1","RdRp"
-0.00721493183541987,0.00532854132429257,0.017872014484005,"6.2","RdRp"
-0.00732924210923782,0.00535688704466104,0.0180430161985599,"6.3","RdRp"
-0.00744350431374676,0.00538360950627379,0.0182107233262943,"6.4","RdRp"
-0.00755771944247055,0.00540871833092212,0.0183751561043148,"6.5","RdRp"
-0.00767188850075608,0.00543222314039728,0.0185363347815506,"6.6","RdRp"
-0.0077860125058029,0.00545413355649056,0.018694279618784,"6.7","RdRp"
-0.00790009248669068,0.0054744592009932,0.0188490108886771,"6.8","RdRp"
-0.0080141294844041,0.0054932096956965,0.0190005488757971,"6.9","RdRp"
-0.00812812455185537,0.00551039466239173,0.0191489138766388,"7","RdRp"
-0.00824207875390404,0.00552602372287015,0.0192941261996443,"7.1","RdRp"
-0.00835599316737411,0.00554010649892303,0.0194362061652202,"7.2","RdRp"
-0.00846986888106848,0.00555265261234165,0.0195751741057518,"7.3","RdRp"
-0.00858370699578025,0.00556367168491729,0.0197110503656148,"7.4","RdRp"
-0.00869750862430122,0.00557317333844121,0.0198438553011836,"7.5","RdRp"
-0.00881127489142718,0.00558116719470469,0.0199736092808366,"7.6","RdRp"
-0.00892500693395996,0.00558766287549899,0.0201003326849579,"7.7","RdRp"
-0.00903870590070614,0.00559267000261538,0.0202240459059369,"7.8","RdRp"
-0.00915237295247236,0.00559619819784515,0.0203447693481627,"7.9","RdRp"
-0.0092660092620569,0.00559825708297956,0.020462523428016,"8","RdRp"
-0.00937961601423778,0.00559885627980988,0.0205773285738575,"8.1","RdRp"
-0.00949319440575684,0.00559800541012739,0.0206892052260116,"8.2","RdRp"
-0.00960674564529992,0.00559571409572336,0.0207981738367466,"8.3","RdRp"
-0.00972027095347304,0.00559199195838905,0.0209042548702511,"8.4","RdRp"
-0.00983377156277428,0.00558684861991574,0.0210074688026058,"8.5","RdRp"
-0.00994724871756133,0.00558029370209471,0.0211078361217507,"8.6","RdRp"
-0.0100607036740145,0.00557233682671723,0.021205377327449,"8.7","RdRp"
-0.0101741377000954,0.00556298761557455,0.0213001129312445,"8.8","RdRp"
-0.0102875520755002,0.00555225569045798,0.0213920634564161,"8.9","RdRp"
-0.0104009480916087,0.00554015067315875,0.0214812494379262,"9","RdRp"
-0.0105143270514281,0.00552668218546817,0.0215676914223644,"9.1","RdRp"
-0.010627690269531,0.00551185984917748,0.021651409967886,"9.2","RdRp"
-0.010741039071989,0.00549569328607797,0.0217324256441449,"9.3","RdRp"
-0.0108543747962999,0.00547819211796091,0.0218107590322217,"9.4","RdRp"
-0.0109676987913098,0.00545936596661757,0.021886430724545,"9.5","RdRp"
-0.011081012417129,0.00543922445383921,0.0219594613248074,"9.6","RdRp"
-0.0111943170450417,0.00541777720141713,0.022029871447876,"9.7","RdRp"
-0.0113076140574105,0.00539503383114257,0.0220976817196956,"9.8","RdRp"
-0.0114209048475729,0.00537100396480683,0.0221629127771866,"9.9","RdRp"
-0.0115341908197329,0.00534569722420116,0.0222255852681352,"10","RdRp"
-0.0116474733888447,0.00531912323111685,0.0222857198510784,"10.1","RdRp"
-0.0117607539804902,0.00529129160734515,0.0223433371951805,"10.2","RdRp"
-0.0118740340307488,0.00526221197467735,0.0223984579801035,"10.3","RdRp"
-0.0119873149860608,0.00523189395490472,0.0224511028958702,"10.4","RdRp"
-0.012100598303082,0.00520034716981853,0.0225012926427191,"10.5","RdRp"
-0.0122138854485324,0.00516758124121004,0.0225490479309525,"10.6","RdRp"
-0.0123271778990353,0.00513360579087053,0.0225943894807763,"10.7","RdRp"
-0.0124404771409492,0.00509843044059128,0.0226373380221318,"10.8","RdRp"
-0.012553784670192,0.00506206481216356,0.0226779142945191,"10.9","RdRp"
-0.0126671019920551,0.00502451852737864,0.0227161390468124,"11","RdRp"
-0.0127804306210108,0.00498580120802778,0.0227520330370664,"11.1","RdRp"
-0.0128937720805091,0.00494592247590226,0.0227856170323136,"11.2","RdRp"
-0.0130071279027666,0.00490489195279335,0.0228169118083533,"11.3","RdRp"
-0.0131204996285455,0.00486271926049232,0.0228459381495302,"11.4","RdRp"
-0.0132338888069233,0.00481941402079047,0.0228727168485042,"11.5","RdRp"
-0.0133472969950525,0.00477498585547903,0.0228972687060106,"11.6","RdRp"
