"dat_vero_low","dat_vero_fit","dat_vero_high","coverage","gene"
0,0,0,"0","M"
0.00253060057560777,0.00304196025039794,0.00355331992518811,"0.1","M"
0.00505215004435368,0.00607044814523189,0.0070887462461101,"0.2","M"
0.00756465142980394,0.00908548573394915,0.0106063200380944,"0.3","M"
0.0100681077404332,0.012087095065997,0.0141060823915608,"0.4","M"
0.0125625219694947,0.0150752981908228,0.0175880744121508,"0.5","M"
0.0150478970948897,0.0180501171578737,0.0210523372208576,"0.6","M"
0.0175242360790366,0.0210115740165971,0.0244989119541575,"0.7","M"
0.0199915418687393,0.0239596908164403,0.0279278397641412,"0.8","M"
0.0224498173950555,0.0268944896068505,0.0313391618186456,"0.9","M"
0.0248990655731637,0.0298159924372751,0.0347329193013865,"1","M"
0.0273392893022314,0.0327242213571614,0.0381091534120913,"1.1","M"
0.0297704914652809,0.0356191984159566,0.0414679053666322,"1.2","M"
0.0321926749290561,0.038500945663108,0.0448092163971599,"1.3","M"
0.0346058425438888,0.041369485148063,0.0481331277522371,"1.4","M"
0.0370099971435641,0.0442248389202688,0.0514396806969734,"1.5","M"
0.039405141545186,0.0470670290291727,0.0547289165131594,"1.6","M"
0.0417912785490427,0.049896077524222,0.0580008764994013,"1.7","M"
0.0441684109384716,0.052712006454864,0.0612556019712565,"1.8","M"
0.046536541479724,0.055514837870546,0.0644931342613681,"1.9","M"
0.04889567292183,0.0583045938207154,0.0677135147196007,"2","M"
0.0512458079964629,0.0610812963548192,0.0709167847131756,"2.1","M"
0.0535869494178038,0.063844967522305,0.0741029856268063,"2.2","M"
0.0559190998824059,0.06659562937262,0.077272158862834,"2.3","M"
0.0582422620690594,0.0693333039552114,0.0804243458413634,"2.4","M"
0.0605564386386554,0.0720580133195266,0.0835595880003977,"2.5","M"
0.0628616322340512,0.0747697795150128,0.0866779267959744,"2.6","M"
0.0651578454799345,0.0774686245911173,0.0897794037023002,"2.7","M"
0.0674450809826886,0.0801545705972875,0.0928640602118864,"2.8","M"
0.069723341330258,0.0828276395829707,0.0959319378356833,"2.9","M"
0.0719926290920131,0.085487853597614,0.0989830781032149,"3","M"
0.0742529468186167,0.0881352346906649,0.102017522562713,"3.1","M"
0.0765042970418898,0.0907698049115706,0.105035312781251,"3.2","M"
0.0787466822746787,0.0933915863097784,0.108036490344878,"3.3","M"
0.0809801050107221,0.0960006009347356,0.111021096858749,"3.4","M"
0.0832045677245186,0.0985968708358894,0.11398917394726,"3.5","M"
0.0854200728711956,0.101180418062687,0.116940763254179,"3.6","M"
0.0876266228863781,0.103751264664576,0.119875906442775,"3.7","M"
0.0898242201860588,0.106309432691004,0.122794645195949,"3.8","M"
0.0920128671664687,0.108854944191418,0.125697021216367,"3.9","M"
0.0941925662039492,0.111387821215264,0.12858307622658,"4","M"
0.0963633196548243,0.113908085811992,0.131452851969159,"4.1","M"
0.0985251298552745,0.116415760031046,0.134306390206818,"4.2","M"
0.100677999121212,0.118910865921876,0.137143732722541,"4.3","M"
0.102821929748156,0.121393425533929,0.139964921319701,"4.4","M"
0.104956924011111,0.123863460916651,0.14276999782219,"4.5","M"
0.107082984164447,0.126320994119489,0.145559004074532,"4.6","M"
0.109200112441774,0.128766047191892,0.148331981942011,"4.7","M"
0.111308311055833,0.131198642183307,0.151088973310781,"4.8","M"
0.113407582198371,0.13361880114318,0.153830020087989,"4.9","M"
0.115497928040033,0.13602654612096,0.156555164201887,"5","M"
0.117579350730244,0.138421899166093,0.159264447601941,"5.1","M"
0.119651852397101,0.140804882328026,0.161957912258951,"5.2","M"
0.121715435147266,0.143175517656208,0.164635600165149,"5.3","M"
0.123770101065855,0.145533827200084,0.167297553334313,"5.4","M"
0.125815852216338,0.147879833009104,0.169943813801869,"5.5","M"
0.127852690640435,0.150213557132713,0.17257442362499,"5.6","M"
0.129880618358018,0.152535021620359,0.1751894248827,"5.7","M"
0.131899637367013,0.15484424852149,0.177788859675966,"5.8","M"
0.133909749643309,0.157141259885552,0.180372770127796,"5.9","M"
0.135910957140664,0.159426077761994,0.182941198383323,"6","M"
0.137903261790621,0.161698724200261,0.185494186609901,"6.1","M"
0.139886665502421,0.163959221249803,0.188031776997184,"6.2","M"
0.141861170162922,0.166207590960065,0.190554011757207,"6.3","M"
0.143826777636523,0.168443855380495,0.193060933124467,"6.4","M"
0.145783489765089,0.170668036560541,0.195552583355994,"6.5","M"
0.14773130836788,0.17288015654965,0.19802900473142,"6.6","M"
0.149670235241489,0.175080237397269,0.200490239553049,"6.7","M"
0.151600272159772,0.177268301152845,0.202936330145918,"6.8","M"
0.153521420873801,0.179444369865826,0.205367318857851,"6.9","M"
0.155433683111802,0.181608465585659,0.207783248059515,"7","M"
0.15733706057911,0.183760610361791,0.210184160144472,"7.1","M"
0.159231554958125,0.18590082624367,0.212570097529214,"7.2","M"
0.161117167908273,0.188029135280742,0.214941102653211,"7.3","M"
0.162993901065974,0.190145559522456,0.217297217978938,"7.4","M"
0.164861756044609,0.192250121018258,0.219638485991906,"7.5","M"
0.166720734434506,0.194342841817595,0.221964949200685,"7.6","M"
0.168570837802913,0.196423743969916,0.224276650136919,"7.7","M"
0.170412067693997,0.198492849524667,0.226573631355337,"7.8","M"
0.172244425628832,0.200550180531296,0.228855935433759,"7.9","M"
0.174067913105405,0.202595759039249,0.231123604973093,"8","M"
0.175882531598625,0.204629607097975,0.233376682597325,"8.1","M"
0.177688282560333,0.20665174675692,0.235615210953506,"8.2","M"
0.179485167419334,0.208662200065532,0.23783923271173,"8.3","M"
