"dat_vero_low","dat_vero_fit","dat_vero_high","coverage","gene"
0,0,0,"0","ORF7b"
0.00152991933828793,0.00183952163173679,0.00214912392518566,"0.1","ORF7b"
0.00305322852229073,0.00366975378004009,0.00428627903778945,"0.2","ORF7b"
0.00456993632324132,0.00549071678339935,0.00641149724355737,"0.3","ORF7b"
0.00608005150314997,0.00730243098030404,0.00852481045745811,"0.4","ORF7b"
0.00758358281472539,0.00910491670924364,0.0106262506037619,"0.5","ORF7b"
0.00908053900129554,0.0108981943087076,0.0127158496161197,"0.6","ORF7b"
0.0105709287967282,0.0126822841171854,0.0147936394376427,"0.7","ORF7b"
0.0120547609253512,0.0144572064731665,0.0168596520209819,"0.8","ORF7b"
0.0135320441018723,0.0162229817151405,0.0189139193284086,"0.9","ORF7b"
0.0150027870312992,0.0179796301815966,0.020956473331894,"1","ORF7b"
0.0164669984088587,0.0197271722110245,0.0229873460131902,"1.1","ORF7b"
0.0179246869199162,0.0214656281419135,0.0250065693639108,"1.2","ORF7b"
0.0193758612398947,0.0231950183127532,0.0270141753856117,"1.3","ORF7b"
0.0208205300341937,0.024915363062033,0.0290101960898724,"1.4","ORF7b"
0.0222587019581078,0.0266266827282425,0.0309946634983771,"1.5","ORF7b"
0.0236903856567457,0.0283289976498709,0.0329676096429961,"1.6","ORF7b"
0.0251155897649482,0.0300223281654079,0.0349290665658677,"1.7","ORF7b"
0.0265343229072066,0.0317066946133429,0.0368790663194793,"1.8","ORF7b"
0.0279465936975813,0.0333821173321654,0.0388176409667495,"1.9","ORF7b"
0.0293524107396196,0.0350486166603648,0.04074482258111,"2","ORF7b"
0.0307517826262743,0.0367062129364306,0.0426606432465869,"2.1","ORF7b"
0.0321447179398213,0.0383549264988523,0.0445651350578832,"2.2","ORF7b"
0.0335312252517783,0.0399947776861193,0.0464583301204602,"2.3","ORF7b"
0.0349113131228228,0.0416257868367211,0.0483402605506193,"2.4","ORF7b"
0.0362849901027101,0.0432479742891472,0.0502109584755842,"2.5","ORF7b"
0.0376522647301922,0.044861360381887,0.0520704560335818,"2.6","ORF7b"
0.0390131455329357,0.0464659654534301,0.0539187853739244,"2.7","ORF7b"
0.040367641027441,0.0480618098422658,0.0557559786570906,"2.8","ORF7b"
0.0417157597189605,0.0496489138868837,0.0575820680548068,"2.9","ORF7b"
0.0430575101014184,0.0512272979257732,0.059397085750128,"3","ORF7b"
0.0443929006573291,0.0527969822974238,0.0612010639375185,"3.1","ORF7b"
0.0457219398577175,0.0543579873403249,0.0629940348229324,"3.2","ORF7b"
0.0470446361620385,0.0559103333929661,0.0647760306238937,"3.3","ORF7b"
0.0483609980180974,0.0574540407938368,0.0665470835695762,"3.4","ORF7b"
0.0496710338619704,0.0589891298814264,0.0683072259008825,"3.5","ORF7b"
0.0509747521179258,0.0605156209942245,0.0700564898705231,"3.6","ORF7b"
0.0522721611983456,0.0620335344707205,0.0717949077430953,"3.7","ORF7b"
0.0535632695036473,0.0635428906494038,0.0735225117951603,"3.8","ORF7b"
0.0548480854222068,0.065043709868764,0.0752393343153212,"3.9","ORF7b"
0.0561266173302814,0.0665360124672904,0.0769454076042994,"4","ORF7b"
0.0573988735919342,0.0680198187834727,0.0786407639750112,"4.1","ORF7b"
0.0586648625589579,0.0694951491558002,0.0803254357526425,"4.2","ORF7b"
0.0599245925708008,0.0709620239227624,0.081999455274724,"4.3","ORF7b"
0.0611780719544927,0.0724204634228488,0.0836628548912048,"4.4","ORF7b"
0.0624253090245721,0.0738704879945488,0.0853156669645256,"4.5","ORF7b"
0.0636663120830135,0.075312117976352,0.0869579238696905,"4.6","ORF7b"
0.0649010894191572,0.0767453737067477,0.0885896579943382,"4.7","ORF7b"
0.0661296493096386,0.0781702755242255,0.0902109017388124,"4.8","ORF7b"
0.0673520000183194,0.0795868437672749,0.0918216875162303,"4.9","ORF7b"
0.0685681497962195,0.0809950987743852,0.0934220477525509,"5","ORF7b"
0.0697781068814508,0.0823950608840459,0.0950120148866411,"5.1","ORF7b"
0.0709818794991516,0.0837867504347467,0.0965916213703418,"5.2","ORF7b"
0.0721794758614222,0.0851701877649767,0.0981608996685313,"5.3","ORF7b"
0.0733709041672632,0.0865453932132257,0.0997198822591883,"5.4","ORF7b"
0.0745561726025133,0.087912387117983,0.101268601633453,"5.5","ORF7b"
0.0757352893397907,0.0892711898177381,0.102807090295686,"5.6","ORF7b"
0.0769082625384344,0.0906218216509806,0.104335380763527,"5.7","ORF7b"
0.0780751003444483,0.0919643029561996,0.105853505567951,"5.8","ORF7b"
0.0792358108904468,0.093298654071885,0.107361497253323,"5.9","ORF7b"
0.0803904022956022,0.094624895336526,0.10885938837745,"6","ORF7b"
0.0815388826655939,0.0959430470886121,0.11034721151163,"6.1","ORF7b"
0.0826812600925602,0.097253129666633,0.111824999240706,"6.2","ORF7b"
0.0838175426550513,0.0985551634090778,0.113292784163104,"6.3","ORF7b"
0.0849477384179858,0.0998491686544362,0.114750598890887,"6.4","ORF7b"
