"month","type","prop"
"2022-04","21A (Delta)",0
"2022-05","21A (Delta)",0.000107758620689655
"2022-06","21A (Delta)",0
"2022-07","21A (Delta)",1.57965405576179e-05
"2022-08","21A (Delta)",0
"2022-09","21A (Delta)",0
"2020-03","21I (Delta)",0
"2020-04","21I (Delta)",0
"2020-05","21I (Delta)",1.62628069604814e-05
"2020-06","21I (Delta)",0.000141292829388909
"2020-07","21I (Delta)",0.000162786911932281
"2020-08","21I (Delta)",0
"2020-09","21I (Delta)",6.16712920135677e-05
"2020-10","21I (Delta)",5.3828556048984e-05
"2020-11","21I (Delta)",0
"2020-12","21I (Delta)",0
"2021-01","21I (Delta)",0.000853881676396271
"2021-02","21I (Delta)",0.000312771503040834
"2021-03","21I (Delta)",0.00144364242087729
"2021-04","21I (Delta)",0.00952631578947368
"2021-05","21I (Delta)",0.0276943636506564
"2021-06","21I (Delta)",0.063076237844258
"2021-07","21I (Delta)",0.140668854290302
"2021-08","21I (Delta)",0.138302004577929
"2021-09","21I (Delta)",0.110111025766357
"2021-10","21I (Delta)",0.0912630218234355
"2021-11","21I (Delta)",0.0676817070460102
"2021-12","21I (Delta)",0.037294454430464
"2022-01","21I (Delta)",0.011030449687437
"2022-02","21I (Delta)",0.00394491998511351
"2022-03","21I (Delta)",0.000305245401237047
"2022-04","21I (Delta)",4.31108811864114e-05
"2022-05","21I (Delta)",8.28912466843501e-05
"2022-06","21I (Delta)",0.00084856900408856
"2022-07","21I (Delta)",0
"2022-08","21I (Delta)",0
"2022-09","21I (Delta)",0
"2020-03","21J (Delta)",0.00012685525815045
"2020-04","21J (Delta)",0.000411466191194623
"2020-05","21J (Delta)",0.00232558139534883
"2020-06","21J (Delta)",0.000141292829388909
"2020-07","21J (Delta)",0.00118834445710564
"2020-08","21J (Delta)",0.00292986090559337
"2020-09","21J (Delta)",0.00164970706136293
"2020-10","21J (Delta)",0.00282599919257165
"2020-11","21J (Delta)",0.00145562282622697
"2020-12","21J (Delta)",0.000715111999158692
"2021-01","21J (Delta)",0.00487061078679097
"2021-02","21J (Delta)",0.00556038227628149
"2021-03","21J (Delta)",0.00499722376457523
"2021-04","21J (Delta)",0.0163533834586466
"2021-05","21J (Delta)",0.0705762125619055
"2021-06","21J (Delta)",0.281983520154406
"2021-07","21J (Delta)",0.562514836277316
"2021-08","21J (Delta)",0.705944371228411
"2021-09","21J (Delta)",0.806312408351372
"2021-10","21J (Delta)",0.865242186905939
"2021-11","21J (Delta)",0.880995776839298
"2021-12","21J (Delta)",0.542567072764796
"2022-01","21J (Delta)",0.0751025072259192
"2022-02","21J (Delta)",0.00496464458503907
"2022-03","21J (Delta)",0.000899670656277613
"2022-04","21J (Delta)",0.000405242283152268
"2022-05","21J (Delta)",0.000240384615384615
"2022-06","21J (Delta)",3.08570546941294e-05
"2022-07","21J (Delta)",0.000110575783903325
"2022-08","21J (Delta)",2.63574064312072e-05
"2022-09","21J (Delta)",0.000515552500429627
"2020-03","21K (Omicron)",0
"2020-04","21K (Omicron)",0
"2020-05","21K (Omicron)",0
"2020-06","21K (Omicron)",0
"2020-07","21K (Omicron)",0
"2020-08","21K (Omicron)",0.000325540100621486
"2020-09","21K (Omicron)",3.08356460067838e-05
"2020-10","21K (Omicron)",0.000322971336293904
"2020-11","21K (Omicron)",0.00077289707587273
"2020-12","21K (Omicron)",0.000462719528867389
"2021-01","21K (Omicron)",0.0032064128256513
"2021-02","21K (Omicron)",0.000182450043440487
"2021-03","21K (Omicron)",1.5864202427223e-05
"2021-04","21K (Omicron)",0
"2021-05","21K (Omicron)",0
"2021-06","21K (Omicron)",0.000133620369683023
"2021-07","21K (Omicron)",0.00027228932486211
"2021-08","21K (Omicron)",5.54900464729139e-05
"2021-09","21K (Omicron)",0.000111724041617205
"2021-10","21K (Omicron)",0.000114059767318075
"2021-11","21K (Omicron)",0.0273394087575017
"2021-12","21K (Omicron)",0.391099127887624
"2022-01","21K (Omicron)",0.784324796665995
"2022-02","21K (Omicron)",0.606788239672497
"2022-03","21K (Omicron)",0.276447907462447
"2022-04","21K (Omicron)",0.0638730815657872
"2022-05","21K (Omicron)",0.0160726127320955
"2022-06","21K (Omicron)",0.00186685180899483
"2022-07","21K (Omicron)",0.000647658162862333
"2022-08","21K (Omicron)",0.000623791952205236
"2022-09","21K (Omicron)",0.00118577075098814
"2020-03","21L (Omicron)",3.80565774451351e-05
"2020-04","21L (Omicron)",0
"2020-05","21L (Omicron)",0
"2020-06","21L (Omicron)",0
"2020-07","21L (Omicron)",0
"2020-08","21L (Omicron)",0
"2020-09","21L (Omicron)",0.000770891150169596
"2020-10","21L (Omicron)",0.00026914278024492
"2020-11","21L (Omicron)",0
"2020-12","21L (Omicron)",0
"2021-01","21L (Omicron)",8.71307833057419e-05
"2021-02","21L (Omicron)",1.73761946133797e-05
"2021-03","21L (Omicron)",7.93210121361149e-06
"2021-04","21L (Omicron)",0
"2021-05","21L (Omicron)",2.35830516468831e-05
"2021-06","21L (Omicron)",0.000452824586148022
"2021-07","21L (Omicron)",0
"2021-08","21L (Omicron)",6.93625580911424e-06
"2021-09","21L (Omicron)",0
"2021-10","21L (Omicron)",7.60398448787164e-06
"2021-11","21L (Omicron)",0.000111135807957324
"2021-12","21L (Omicron)",0.018920178416883
"2022-01","21L (Omicron)",0.121180345499765
"2022-02","21L (Omicron)",0.379940454037961
"2022-03","21L (Omicron)",0.711679652984175
"2022-04","21L (Omicron)",0.890498361786515
"2022-05","21L (Omicron)",0.790318302387268
"2022-06","21L (Omicron)",0.334691043739875
"2022-07","21L (Omicron)",0.0767790853803017
"2022-08","21L (Omicron)",0.0159198734844491
"2022-09","21L (Omicron)",0.0064959615054133
"2020-03","21M (Omicron)",0
"2020-04","21M (Omicron)",0
"2020-05","21M (Omicron)",0
"2020-06","21M (Omicron)",0
"2020-07","21M (Omicron)",0
"2020-08","21M (Omicron)",0
"2020-09","21M (Omicron)",0
"2020-10","21M (Omicron)",0
"2020-11","21M (Omicron)",0
"2020-12","21M (Omicron)",0
"2021-01","21M (Omicron)",0
"2021-02","21M (Omicron)",0
"2021-03","21M (Omicron)",0
"2021-04","21M (Omicron)",0
"2021-05","21M (Omicron)",0
"2021-06","21M (Omicron)",0
"2021-07","21M (Omicron)",0
"2021-08","21M (Omicron)",0
"2021-09","21M (Omicron)",0
"2021-10","21M (Omicron)",0
"2021-11","21M (Omicron)",0.000170408238867897
"2021-12","21M (Omicron)",0.000332867319086612
"2022-01","21M (Omicron)",0.000591517106943604
"2022-02","21M (Omicron)",0.00038704875325642
"2022-03","21M (Omicron)",0.000184753795485581
"2022-04","21M (Omicron)",7.75995861355406e-05
"2022-05","21M (Omicron)",8.28912466843501e-06
"2022-06","21M (Omicron)",0
"2022-07","21M (Omicron)",0
"2022-08","21M (Omicron)",2.63574064312072e-05
"2022-09","21M (Omicron)",0
"2020-03","22A (Omicron)",0
"2020-04","22A (Omicron)",0
"2020-05","22A (Omicron)",0
"2020-06","22A (Omicron)",0
"2020-07","22A (Omicron)",0
"2020-08","22A (Omicron)",0
"2020-09","22A (Omicron)",0
"2020-10","22A (Omicron)",0.00040371417036738
"2020-11","22A (Omicron)",0
"2020-12","22A (Omicron)",0
"2021-01","22A (Omicron)",0
"2021-02","22A (Omicron)",0
"2021-03","22A (Omicron)",0
"2021-04","22A (Omicron)",0
"2021-05","22A (Omicron)",0
"2021-06","22A (Omicron)",4.45401232276743e-05
"2021-07","22A (Omicron)",0
"2021-08","22A (Omicron)",0
"2021-09","22A (Omicron)",0
"2021-10","22A (Omicron)",0
"2021-11","22A (Omicron)",0
"2021-12","22A (Omicron)",6.65734638173224e-05
"2022-01","22A (Omicron)",0.000107548564898837
"2022-02","22A (Omicron)",0.000223297357647935
"2022-03","22A (Omicron)",0.00375933809944573
"2022-04","22A (Omicron)",0.0112174512847043
"2022-05","22A (Omicron)",0.0363229442970822
"2022-06","22A (Omicron)",0.107729692200879
"2022-07","22A (Omicron)",0.106057973303846
"2022-08","22A (Omicron)",0.0755842558425584
"2022-09","22A (Omicron)",0.0474823852895686
"2020-03","22B (Omicron)",0.00012685525815045
"2020-04","22B (Omicron)",0
"2020-05","22B (Omicron)",0
"2020-06","22B (Omicron)",0
"2020-07","22B (Omicron)",0
"2020-08","22B (Omicron)",2.95945546019532e-05
"2020-09","22B (Omicron)",0
"2020-10","22B (Omicron)",0
"2020-11","22B (Omicron)",0
"2020-12","22B (Omicron)",0
"2021-01","22B (Omicron)",0
"2021-02","22B (Omicron)",0
"2021-03","22B (Omicron)",0
"2021-04","22B (Omicron)",0
"2021-05","22B (Omicron)",0
"2021-06","22B (Omicron)",0
"2021-07","22B (Omicron)",6.98177756056692e-06
"2021-08","22B (Omicron)",2.7745023236457e-05
"2021-09","22B (Omicron)",2.79310104043014e-05
"2021-10","22B (Omicron)",0
"2021-11","22B (Omicron)",0
"2021-12","22B (Omicron)",0
"2022-01","22B (Omicron)",5.37742824494186e-05
"2022-02","22B (Omicron)",0.000855973204317082
"2022-03","22B (Omicron)",0.00150212868503494
"2022-04","22B (Omicron)",0.00636316606311433
"2022-05","22B (Omicron)",0.0640749336870026
"2022-06","22B (Omicron)",0.451708709403687
"2022-07","22B (Omicron)",0.779638259221231
"2022-08","22B (Omicron)",0.879142505710771
"2022-09","22B (Omicron)",0.895085066162571
"2020-03","22C (Omicron)",0
"2020-04","22C (Omicron)",0.000137155397064874
"2020-05","22C (Omicron)",0
"2020-06","22C (Omicron)",0
"2020-07","22C (Omicron)",0
"2020-08","22C (Omicron)",0
"2020-09","22C (Omicron)",0
"2020-10","22C (Omicron)",0
"2020-11","22C (Omicron)",0
"2020-12","22C (Omicron)",0
"2021-01","22C (Omicron)",0
"2021-02","22C (Omicron)",0
"2021-03","22C (Omicron)",0
"2021-04","22C (Omicron)",0
"2021-05","22C (Omicron)",0
"2021-06","22C (Omicron)",0
"2021-07","22C (Omicron)",0
"2021-08","22C (Omicron)",0
"2021-09","22C (Omicron)",0
"2021-10","22C (Omicron)",0
"2021-11","22C (Omicron)",0
"2021-12","22C (Omicron)",0
"2022-01","22C (Omicron)",6.72178530617732e-06
"2022-02","22C (Omicron)",5.95459620394492e-05
"2022-03","22C (Omicron)",0.00116475218893083
"2022-04","22C (Omicron)",0.015425073288498
"2022-05","22C (Omicron)",0.0764837533156499
"2022-06","22C (Omicron)",0.0899174573786932
"2022-07","22C (Omicron)",0.0251480925677277
"2022-08","22C (Omicron)",0.00457740291688631
"2022-09","22C (Omicron)",0.000481182333734319
"2020-03","22D (Omicron)",0
"2020-04","22D (Omicron)",0
"2020-05","22D (Omicron)",0
"2020-06","22D (Omicron)",0
"2020-07","22D (Omicron)",0
"2020-08","22D (Omicron)",0
"2020-09","22D (Omicron)",0
"2020-10","22D (Omicron)",0
"2020-11","22D (Omicron)",0
"2020-12","22D (Omicron)",0
"2021-01","22D (Omicron)",0
"2021-02","22D (Omicron)",0
"2021-03","22D (Omicron)",0
"2021-04","22D (Omicron)",0
"2021-05","22D (Omicron)",0
"2021-06","22D (Omicron)",0
"2021-07","22D (Omicron)",0
"2021-08","22D (Omicron)",0
"2021-09","22D (Omicron)",0
"2021-10","22D (Omicron)",0
"2021-11","22D (Omicron)",0
"2021-12","22D (Omicron)",0
"2022-01","22D (Omicron)",0
"2022-02","22D (Omicron)",0
"2022-03","22D (Omicron)",0
"2022-04","22D (Omicron)",0
"2022-05","22D (Omicron)",8.28912466843501e-06
"2022-06","22D (Omicron)",0.00121885366041811
"2022-07","22D (Omicron)",0.00642919200695047
"2022-08","22D (Omicron)",0.019513266561237
"2022-09","22D (Omicron)",0.0404193160336828
"2020-03","22E (Omicron)",0
"2020-04","22E (Omicron)",0
"2020-05","22E (Omicron)",0
"2020-06","22E (Omicron)",0
"2020-07","22E (Omicron)",0
"2020-08","22E (Omicron)",0
"2020-09","22E (Omicron)",0
"2020-10","22E (Omicron)",0
"2020-11","22E (Omicron)",0
"2020-12","22E (Omicron)",0
"2021-01","22E (Omicron)",0
"2021-02","22E (Omicron)",0
"2021-03","22E (Omicron)",0
"2021-04","22E (Omicron)",0
"2021-05","22E (Omicron)",0
"2021-06","22E (Omicron)",0
"2021-07","22E (Omicron)",0
"2021-08","22E (Omicron)",0
"2021-09","22E (Omicron)",0
"2021-10","22E (Omicron)",0
"2021-11","22E (Omicron)",0
"2021-12","22E (Omicron)",0
"2022-01","22E (Omicron)",0
"2022-02","22E (Omicron)",0
"2022-03","22E (Omicron)",0
"2022-04","22E (Omicron)",0
"2022-05","22E (Omicron)",0
"2022-06","22E (Omicron)",0
"2022-07","22E (Omicron)",7.89827027880894e-05
"2022-08","22E (Omicron)",0.000193287647162186
"2022-09","22E (Omicron)",0.00412442000343701
"2020-03","22F (Omicron)",0
"2020-04","22F (Omicron)",0
"2020-05","22F (Omicron)",0
"2020-06","22F (Omicron)",0
