entity,iso_code,year,population,source
Gabon,GAB,2022,2388997,https://population.un.org/wpp/Download/Standard/CSV/
Gambia,GMB,2022,2705995,https://population.un.org/wpp/Download/Standard/CSV/
Georgia,GEO,2022,3744385,https://population.un.org/wpp/Download/Standard/CSV/
Germany,DEU,2022,83369840,https://population.un.org/wpp/Download/Standard/CSV/
Ghana,GHA,2022,33475870,https://population.un.org/wpp/Download/Standard/CSV/
Gibraltar,GIB,2022,32677,https://population.un.org/wpp/Download/Standard/CSV/
Greece,GRC,2022,10384972,https://population.un.org/wpp/Download/Standard/CSV/
Greenland,GRL,2022,56494,https://population.un.org/wpp/Download/Standard/CSV/
Grenada,GRD,2022,125459,https://population.un.org/wpp/Download/Standard/CSV/
Guadeloupe,GLP,2022,395762,https://population.un.org/wpp/Download/Standard/CSV/
Guam,GUM,2022,171783,https://population.un.org/wpp/Download/Standard/CSV/
Guatemala,GTM,2022,17843914,https://population.un.org/wpp/Download/Standard/CSV/
Guernsey,GGY,2022,63329,https://population.un.org/wpp/Download/Standard/CSV/
Guinea,GIN,2022,13859349,https://population.un.org/wpp/Download/Standard/CSV/
Guinea-Bissau,GNB,2022,2105580,https://population.un.org/wpp/Download/Standard/CSV/
Guyana,GUY,2022,808727,https://population.un.org/wpp/Download/Standard/CSV/
Haiti,HTI,2022,11585003,https://population.un.org/wpp/Download/Standard/CSV/
High income,OWID_HIC,2022,1250514600,https://population.un.org/wpp/Download/Standard/CSV/
Honduras,HND,2022,10432858,https://population.un.org/wpp/Download/Standard/CSV/
Hong Kong,HKG,2022,7488863,https://population.un.org/wpp/Download/Standard/CSV/
Hungary,HUN,2022,9967304,https://population.un.org/wpp/Download/Standard/CSV/
Iceland,ISL,2022,372903,https://population.un.org/wpp/Download/Standard/CSV/
India,IND,2022,1417173120,https://population.un.org/wpp/Download/Standard/CSV/
Indonesia,IDN,2022,275501344,https://population.un.org/wpp/Download/Standard/CSV/
Iran,IRN,2022,88550568,https://population.un.org/wpp/Download/Standard/CSV/
Iraq,IRQ,2022,44496124,https://population.un.org/wpp/Download/Standard/CSV/
Ireland,IRL,2022,5023108,https://population.un.org/wpp/Download/Standard/CSV/
Isle of Man,IMN,2022,84534,https://population.un.org/wpp/Download/Standard/CSV/
Israel,ISR,2022,9449000,https://www.cbs.gov.il/en/mediarelease/pages/2021/population-of-israel-on-the-eve-of-2022.aspx
Italy,ITA,2022,59037472,https://population.un.org/wpp/Download/Standard/CSV/
Jamaica,JAM,2022,2827382,https://population.un.org/wpp/Download/Standard/CSV/
Japan,JPN,2022,123951696,https://population.un.org/wpp/Download/Standard/CSV/
Jersey,JEY,2022,110796,https://population.un.org/wpp/Download/Standard/CSV/
Jordan,JOR,2022,11285875,https://population.un.org/wpp/Download/Standard/CSV/
Kazakhstan,KAZ,2022,19397998,https://population.un.org/wpp/Download/Standard/CSV/
Kenya,KEN,2022,54027484,https://population.un.org/wpp/Download/Standard/CSV/
Kiribati,KIR,2022,131237,https://population.un.org/wpp/Download/Standard/CSV/
Kosovo,OWID_KOS,2021,1782115,https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
Kuwait,KWT,2022,4268886,https://population.un.org/wpp/Download/Standard/CSV/
Kyrgyzstan,KGZ,2022,6630621,https://population.un.org/wpp/Download/Standard/CSV/
Laos,LAO,2022,7529477,https://population.un.org/wpp/Download/Standard/CSV/
Latvia,LVA,2022,1850654,https://population.un.org/wpp/Download/Standard/CSV/
Lebanon,LBN,2022,5489744,https://population.un.org/wpp/Download/Standard/CSV/
Lesotho,LSO,2022,2305826,https://population.un.org/wpp/Download/Standard/CSV/
Liberia,LBR,2022,5302690,https://population.un.org/wpp/Download/Standard/CSV/
Libya,LBY,2022,6812344,https://population.un.org/wpp/Download/Standard/CSV/
Liechtenstein,LIE,2022,39355,https://population.un.org/wpp/Download/Standard/CSV/
Lithuania,LTU,2022,2750058,https://population.un.org/wpp/Download/Standard/CSV/
Low income,OWID_LIC,2022,737604900,https://population.un.org/wpp/Download/Standard/CSV/
Lower middle income,OWID_LMC,2022,3432097300,https://population.un.org/wpp/Download/Standard/CSV/
Luxembourg,LUX,2022,647601,https://population.un.org/wpp/Download/Standard/CSV/
Macao,MAC,2022,695180,https://population.un.org/wpp/Download/Standard/CSV/
Madagascar,MDG,2022,29611718,https://population.un.org/wpp/Download/Standard/CSV/
Malawi,MWI,2022,20405318,https://population.un.org/wpp/Download/Standard/CSV/
Malaysia,MYS,2022,33938216,https://population.un.org/wpp/Download/Standard/CSV/
Maldives,MDV,2022,523798,https://population.un.org/wpp/Download/Standard/CSV/
Mali,MLI,2022,22593598,https://population.un.org/wpp/Download/Standard/CSV/
Malta,MLT,2022,533293,https://population.un.org/wpp/Download/Standard/CSV/
Marshall Islands,MHL,2022,41593,https://population.un.org/wpp/Download/Standard/CSV/
Martinique,MTQ,2022,367512,https://population.un.org/wpp/Download/Standard/CSV/
Mauritania,MRT,2022,4736146,https://population.un.org/wpp/Download/Standard/CSV/
Mauritius,MUS,2022,1299478,https://population.un.org/wpp/Download/Standard/CSV/
Mexico,MEX,2022,127504120,https://population.un.org/wpp/Download/Standard/CSV/
Micronesia (country),FSM,2022,114178,https://population.un.org/wpp/Download/Standard/CSV/
Moldova,MDA,2022,3272993,https://population.un.org/wpp/Download/Standard/CSV/
Monaco,MCO,2022,36491,https://population.un.org/wpp/Download/Standard/CSV/
Mongolia,MNG,2022,3398373,https://population.un.org/wpp/Download/Standard/CSV/
Montenegro,MNE,2022,627082,https://population.un.org/wpp/Download/Standard/CSV/
Montserrat,MSR,2022,4413,https://population.un.org/wpp/Download/Standard/CSV/
Morocco,MAR,2022,37457976,https://population.un.org/wpp/Download/Standard/CSV/
Mozambique,MOZ,2022,32969520,https://population.un.org/wpp/Download/Standard/CSV/
Myanmar,MMR,2022,54179312,https://population.un.org/wpp/Download/Standard/CSV/
Namibia,NAM,2022,2567024,https://population.un.org/wpp/Download/Standard/CSV/
Nauru,NRU,2022,12691,https://population.un.org/wpp/Download/Standard/CSV/
Nepal,NPL,2022,30547586,https://population.un.org/wpp/Download/Standard/CSV/
Netherlands,NLD,2022,17564020,https://population.un.org/wpp/Download/Standard/CSV/
New Caledonia,NCL,2022,289959,https://population.un.org/wpp/Download/Standard/CSV/
New Zealand,NZL,2022,5185289,https://population.un.org/wpp/Download/Standard/CSV/
Nicaragua,NIC,2022,6948395,https://population.un.org/wpp/Download/Standard/CSV/
Niger,NER,2022,26207982,https://population.un.org/wpp/Download/Standard/CSV/
Nigeria,NGA,2022,218541216,https://population.un.org/wpp/Download/Standard/CSV/
Niue,NIU,2022,1952,https://population.un.org/wpp/Download/Standard/CSV/
North America,OWID_NAM,2022,600323657,https://population.un.org/wpp/Download/Standard/CSV/
North Korea,PRK,2022,26069416,https://population.un.org/wpp/Download/Standard/CSV/
North Macedonia,MKD,2022,2093606,https://population.un.org/wpp/Download/Standard/CSV/
Northern Mariana Islands,MNP,2022,49574,https://population.un.org/wpp/Download/Standard/CSV/
Norway,NOR,2022,5434324,https://population.un.org/wpp/Download/Standard/CSV/
Oceania,OWID_OCE,2022,45038860,https://population.un.org/wpp/Download/Standard/CSV/
Oman,OMN,2022,4576300,https://population.un.org/wpp/Download/Standard/CSV/
Pakistan,PAK,2022,235824864,https://population.un.org/wpp/Download/Standard/CSV/
Palau,PLW,2022,18084,https://population.un.org/wpp/Download/Standard/CSV/
Palestine,PSE,2022,5250076,https://population.un.org/wpp/Download/Standard/CSV/
Panama,PAN,2022,4408582,https://population.un.org/wpp/Download/Standard/CSV/
Papua New Guinea,PNG,2022,10142625,https://population.un.org/wpp/Download/Standard/CSV/
Paraguay,PRY,2022,6780745,https://population.un.org/wpp/Download/Standard/CSV/
Peru,PER,2022,34049588,https://population.un.org/wpp/Download/Standard/CSV/
Philippines,PHL,2022,115559008,https://population.un.org/wpp/Download/Standard/CSV/
Pitcairn,PCN,2021,47,https://www.bbc.com/news/uk-56923016
Poland,POL,2022,39857144,https://population.un.org/wpp/Download/Standard/CSV/
Portugal,PRT,2022,10270857,https://population.un.org/wpp/Download/Standard/CSV/
Puerto Rico,PRI,2022,3252412,https://population.un.org/wpp/Download/Standard/CSV/
Qatar,QAT,2022,2695131,https://population.un.org/wpp/Download/Standard/CSV/
Romania,ROU,2022,19659270,https://population.un.org/wpp/Download/Standard/CSV/
Russia,RUS,2022,144713312,https://population.un.org/wpp/Download/Standard/CSV/
Rwanda,RWA,2022,13776702,https://population.un.org/wpp/Download/Standard/CSV/
Saint Helena,SHN,2022,5401,https://population.un.org/wpp/Download/Standard/CSV/
Saint Kitts and Nevis,KNA,2022,47681,https://population.un.org/wpp/Download/Standard/CSV/
Saint Lucia,LCA,2022,179872,https://population.un.org/wpp/Download/Standard/CSV/
Saint Martin (French part),MAF,2022,31816,https://population.un.org/wpp/Download/Standard/CSV/
Saint Pierre and Miquelon,SPM,2022,5885,https://population.un.org/wpp/Download/Standard/CSV/
Saint Vincent and the Grenadines,VCT,2022,103959,https://population.un.org/wpp/Download/Standard/CSV/
Samoa,WSM,2022,222390,https://population.un.org/wpp/Download/Standard/CSV/
San Marino,SMR,2022,33690,https://population.un.org/wpp/Download/Standard/CSV/
Sao Tome and Principe,STP,2022,227393,https://population.un.org/wpp/Download/Standard/CSV/
Saudi Arabia,SAU,2022,36408824,https://population.un.org/wpp/Download/Standard/CSV/
Senegal,SEN,2022,17316452,https://population.un.org/wpp/Download/Standard/CSV/
Serbia,SRB,2021,6871547,https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
Seychelles,SYC,2022,107135,https://population.un.org/wpp/Download/Standard/CSV/
Sierra Leone,SLE,2022,8605723,https://population.un.org/wpp/Download/Standard/CSV/
Singapore,SGP,2022,5637022,https://www.singstat.gov.sg/modules/infographics/populationx
Sint Maarten (Dutch part),SXM,2022,44192,https://population.un.org/wpp/Download/Standard/CSV/
Slovakia,SVK,2022,5643455,https://population.un.org/wpp/Download/Standard/CSV/
Slovenia,SVN,2022,2119843,https://population.un.org/wpp/Download/Standard/CSV/
Solomon Islands,SLB,2022,724272,https://population.un.org/wpp/Download/Standard/CSV/
Somalia,SOM,2022,17597508,https://population.un.org/wpp/Download/Standard/CSV/
South Africa,ZAF,2022,59893884,https://population.un.org/wpp/Download/Standard/CSV/
South America,OWID_SAM,2022,436816679,https://population.un.org/wpp/Download/Standard/CSV/
South Korea,KOR,2022,51815808,https://population.un.org/wpp/Download/Standard/CSV/
South Sudan,SSD,2022,10913172,https://population.un.org/wpp/Download/Standard/CSV/
Spain,ESP,2022,47558632,https://population.un.org/wpp/Download/Standard/CSV/
Sri Lanka,LKA,2022,21832150,https://population.un.org/wpp/Download/Standard/CSV/
Sudan,SDN,2022,46874200,https://population.un.org/wpp/Download/Standard/CSV/
Suriname,SUR,2022,618046,https://population.un.org/wpp/Download/Standard/CSV/
Sweden,SWE,2022,10549349,https://population.un.org/wpp/Download/Standard/CSV/
Switzerland,CHE,2022,8740471,https://population.un.org/wpp/Download/Standard/CSV/
Syria,SYR,2022,22125242,https://population.un.org/wpp/Download/Standard/CSV/
Taiwan,TWN,2022,23893396,https://population.un.org/wpp/Download/Standard/CSV/
Tajikistan,TJK,2022,9952789,https://population.un.org/wpp/Download/Standard/CSV/
