"vero_low","vero_fit","vero_high","coverage1","coverage","gene"
0.384218099582769,0.426722704155598,0.469227308728427,"25","Low coverage (25)","ORF9b"
0.289353239780742,0.351060677277416,0.412768114774091,"50","Medium coverage (50)","ORF9b"
-0.115414432967735,0.174237857115138,0.463890147198011,"75","High coverage (75)","ORF9b"
